date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2018-05-03,2314904076,0,0,0,11853092,0
2018-05-04,2372622278,0,0,0,11867997,0
2018-05-05,2261228728,0,0,0,11918900,0
2018-05-06,2249478541,0,0,0,11947229,0
2018-05-07,2180637158,0,0,0,11977179,0
2018-05-08,2154112978,0,0,0,11848459,0
2018-05-09,2104885290,0,0,0,11899900,0
2018-05-10,2108873301,0,0,0,11877696,0
2018-05-11,2105879047,0,0,0,13280784,0
2018-05-12,2112850578,0,0,0,13360966,0
2018-05-13,2220564971,0,0,0,13337269,0
2018-05-14,2209044380,0,0,0,13473006,0
2018-05-15,2209948701,0,0,0,13409941,0
2018-05-16,2204161199,0,0,0,16373361,0
2018-05-17,2313604286,0,0,0,16282242,0
2018-05-18,2310503939,0,0,0,16671940,0
2018-05-19,2503520439,0,0,0,16726165,0
2018-05-20,2510373976,0,0,0,16682852,0
2018-05-21,2509751495,0,0,0,19873292,0
2018-05-22,2503254463,0,0,0,18592220,0
2018-05-23,2500586103,0,0,0,33446357,0
2018-05-24,2508799677,0,0,0,33329749,0
2018-05-25,2510652937,0,0,0,33882072,0
2018-05-26,2514394133,0,0,0,38866480,0
2018-05-27,2506571114,0,0,0,39167204,0
2018-05-28,2506310135,0,0,0,39410520,0
2018-05-29,2517623504,0,0,0,38630198,0
2018-05-30,2505054449,0,0,0,38563494,0
2018-05-31,2501825160,0,0,0,41394834,0
2018-06-01,2509107720,0,0,0,43346593,0
2018-06-02,2512200130,0,0,0,43070362,0
2018-06-03,2506853306,0,0,0,43129739,0
2018-06-04,2510616253,0,0,0,43425532,0
2018-06-05,2514568765,0,0,0,43391676,0
2018-06-06,2505516088,0,0,0,43348066,0
2018-06-07,2502560003,0,0,0,43700867,0
2018-06-08,2505309348,0,0,0,43627199,0
2018-06-09,2510964780,0,0,0,43287605,0
2018-06-10,2515854692,0,0,0,44210877,0
2018-06-11,2513911992,0,0,0,44116661,0
2018-06-12,2511231064,0,0,0,45123331,0
2018-06-13,2512560152,0,0,0,48596353,0
2018-06-14,2510612842,0,0,0,48946092,0
2018-06-15,2511105268,0,0,0,49644140,0
2018-06-16,2606755302,0,0,0,49571000,0
2018-06-17,2611483998,0,0,0,49512553,0
2018-06-18,2607522087,0,0,0,62093651,0
2018-06-19,2607466092,0,0,0,62012882,0
