date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2020-07-20,9913964260,1124222592,184816831,221183786,172165193,235945272
2020-07-21,9913573515,1109330263,172769794,220578969,167163406,237025859
2020-07-22,9921658840,1117656662,183117112,222782669,174586768,238606053
2020-07-23,10016213022,1117412376,185252193,224399095,188818324,239965413
2020-07-24,10062892351,1111666685,176486040,260784026,222025899,243741692
2020-07-25,10162563058,1109062844,177697011,285136547,239941247,246220656
2020-07-26,10213180914,1106484358,177591188,254444725,239250023,245703660
2020-07-27,10216671824,1166058592,171712304,276975318,226826891,251466210
2020-07-28,10163253370,1168067160,159953802,287337611,183974949,252159771
2020-07-29,10472196877,1167917744,148171121,301443470,184376508,252741716
2020-07-30,10617855494,1165546374,151346727,330149283,185631416,252796196
2020-07-31,10707864336,1145335232,146879256,347418058,195681902,250513745
2020-08-01,10778488967,1079713382,159038861,370563792,206360784,253432519
2020-08-02,10941249519,1087114066,152225450,368973994,217480764,256467182
2020-08-03,11062349222,1097449797,161253782,369885940,217605746,252247745
2020-08-04,11118634671,1084969023,157319959,385394038,205607908,252057103
2020-08-05,11182209135,1082620641,159427282,386659620,204062221,251694482
2020-08-06,11252929576,1080663525,162843472,389543206,198522366,257265052
2020-08-07,11334228794,1093371177,163287878,380719416,199221644,264627758
2020-08-08,11495140100,1108253404,165299045,384611514,203602569,261770775
2020-08-09,11578515769,1147426900,178780271,383999249,209297598,260609030
2020-08-10,11650317902,1146087516,180206590,383463405,209608640,262025279
2020-08-11,11698790362,1123043261,169564144,424372186,200304912,255410384
2020-08-12,11858746978,1133850754,160620111,428380630,194133975,252317517
2020-08-13,11896892578,1161006417,173421855,425553141,195616824,253995908
2020-08-14,12000642229,1177494755,178852818,435923683,192542402,252759519
2020-08-15,12238797983,1205711262,192549766,415657267,253071264,257682675
2020-08-16,12215059078,1201078658,188667660,415930725,273516664,257735505
2020-08-17,12248808991,1202780393,188780318,423689537,289593613,257907467
2020-08-18,12392582270,1218933979,201324029,429635612,280946475,258629298
2020-08-19,12603054668,1246578444,208980903,428248084,293657751,261620123
2020-08-20,12605339230,1276066354,195902197,422939403,301622845,254959730
2020-08-21,12660117157,1308639524,201179522,433406175,318602904,258645165
2020-08-22,12762557154,1318000931,197196182,435985038,331498712,260690449
2020-08-23,12812234222,1337354145,203588518,443541608,366756657,262148481
2020-08-24,12830042987,1355621233,213032087,445425129,382151971,263440935
2020-08-25,12895083176,1362784250,204175464,449461906,334859250,265386364
2020-08-26,12865507394,1382944810,197251746,450681552,376449738,268506910
2020-08-27,12858452039,1400055981,195864911,453067358,380979557,265752400
2020-08-28,13028548270,1425062753,199359635,450446823,349416364,279434449
2020-08-29,13129348617,1426971000,196099408,449994717,362540064,278599170
2020-08-30,13302097288,1461801399,187194595,442729019,383074319,275840481
2020-08-31,13324009301,1474977048,187621716,448769575,382351278,276232322
2020-09-01,13325296847,1478076252,189718526,445706300,337935022,268501662
2020-09-02,13442714264,1526243029,184878772,468313158,313743486,267767769
2020-09-03,13625399575,1521629076,183898348,493459666,314340614,271860727
2020-09-04,13682958086,1585737957,186842829,520082677,311951936,274566455
2020-09-05,13944291390,1654937551,193911320,467054805,310748569,290572092
2020-09-06,14146895239,1697373902,192667892,442472479,366327229,288547385
2020-09-07,14156780888,1738405992,198468422,432144170,381186973,297018004
2020-09-08,14155492387,1770732237,200670684,438965908,395097507,294521647
2020-09-09,14249894735,1807864449,216169637,440052030,375123824,284986229
2020-09-10,14336176673,1837881410,255773028,438478453,390662188,286548897
2020-09-11,14437687574,1851977261,287995657,462422579,419692107,284992102
2020-09-12,14583424054,1917867507,296518456,467274663,429435113,290369423
2020-09-13,14699656954,1960519722,299596005,473702955,444815889,296470641
2020-09-14,14726592942,1998726033,308134760,473768021,474392528,296414372
2020-09-15,14728080925,2019992601,352617124,542737180,487704796,292640756
2020-09-16,14927227968,2078905551,372629961,614117909,497038996,284750435
2020-09-17,14957143001,2077721052,397107804,576012225,514166447,284429942
2020-09-18,15065278642,2108597204,392520285,638473703,512914220,290458464
2020-09-19,15138915465,2181447456,391082908,696586953,487931137,314017080
2020-09-20,15212009141,2286773731,401985295,786231125,415434605,315847398
2020-09-21,15210458847,2348242846,407766081,807885340,402157229,318085696
2020-09-22,15210934527,2394979223,406774296,835983752,392594735,319329712
2020-09-23,15207247917,2401695866,415183412,850969076,387951530,323300702
2020-09-24,15239262469,2447227065,436160360,895329363,380740095,321927407
2020-09-25,15232006517,2508029494,433564565,905894982,380712371,316045886
2020-09-26,15198008748,2510442216,455474955,904955087,383086975,312634474
2020-09-27,15280949125,2551472974,465811653,926941252,391953641,314607591
2020-09-28,15354889137,2602973323,479275441,926075192,389029008,309343633
2020-09-29,15395506651,2529880668,464269240,912251123,391616477,290014844
2020-09-30,15466015672,2537998074,476339347,912393640,395837865,292016055
2020-10-01,15517416775,2533716802,503253766,905012707,394830567,293674659
2020-10-02,15506096330,2538189510,518470879,879787761,396854778,297231329
2020-10-03,15559126338,2596747527,545969083,879406014,395577839,297101529
2020-10-04,15593659414,2635139058,555770994,873047487,396340537,294940735
2020-10-05,15582073682,2647091930,567637459,870811583,399643753,297629651
2020-10-06,15613470199,2669784990,570746946,868989851,396008377,295818674
2020-10-07,15620630276,2677147190,590819723,879910778,390621919,297188388
2020-10-08,15615309939,2713582993,611555180,874601045,366095054,293496850
2020-10-09,15613856025,2813795125,627812373,877710216,356457117,297031681
2020-10-10,15629093673,2816482258,666106542,895570110,366997680,310138182
2020-10-11,15705291453,2860465292,665737874,902553745,365440373,310926285
2020-10-12,15726508389,2862636124,685104071,916255255,365486874,302536561
2020-10-13,15719081417,2848010177,722117027,918663868,357340306,307930434
2020-10-14,15749202701,2780366832,732816289,939968264,355594533,308260435
2020-10-15,15757276435,2758342399,789766869,919880371,343654113,298586839
2020-10-16,15765787579,2744150812,808285941,916510954,336801954,288647020
2020-10-17,15784964725,2708757172,809876715,914504042,339150677,298283672
2020-10-18,15818540295,2712475152,811405915,911111878,339631987,298476200
2020-10-19,15839841300,2735872028,811477912,912591980,356044136,298556779
2020-10-20,15836240611,2743403339,799081261,908877157,330639792,310004087
2020-10-21,15885590091,2737764421,804508471,915037891,330193319,324178870
2020-10-22,15988638518,2793509639,791752497,925408778,330805897,350409031
2020-10-23,16037428576,2788502061,742797845,920335887,324991561,379758734
2020-10-24,16147555998,2761599310,737495517,944023837,317744650,381862628
2020-10-25,16243349992,2791642605,746717730,940605460,315032446,384094921
2020-10-26,16280341320,2812099248,756505401,941736520,315002619,387659187
2020-10-27,16338115219,2780171009,735489862,936683109,289295666,406780859
2020-10-28,16394460872,2815626165,730795680,951070598,275749416,404720233
2020-10-29,16441266716,2845042314,722349230,949416509,256862323,406131692
2020-10-30,16516066040,2889448405,717832506,944896121,251386543,415720392
2020-10-31,16532183808,2886046069,710454433,933332297,252224003,430451323
2020-11-01,16623463029,2937044139,710338857,934987784,255739340,430095678
2020-11-02,16616270865,2935020081,708951249,945481140,257421792,434214935
2020-11-03,16660305272,2941412397,695849160,954232998,250993317,429845591
2020-11-04,16672806891,2925280467,686750634,960429815,254308502,429080492
2020-11-05,16761357256,2895425437,678289765,950721834,261964707,430949236
2020-11-06,16904673927,2874608522,667647852,954813316,265198225,433699308
2020-11-07,16997171289,2861131230,639700652,960717585,267442307,432527892
2020-11-08,17169790620,2894648970,634257544,961963364,272368681,434593043
2020-11-09,17204850807,2885939648,634824823,960402760,272531753,434539009
2020-11-10,17283048043,2852111119,599946097,965004127,273455235,435059413
2020-11-11,17296592567,2837068623,619435211,971958282,272423183,434597804
2020-11-12,17440423455,2837664545,627716028,1000763129,279351126,433700939
2020-11-13,17556236318,2814909577,637100668,997895359,279135813,432277271
2020-11-14,17712127062,2814609667,635495334,1004871785,279270980,447850754
2020-11-15,17860345299,2831723902,656136896,1008866537,281955414,446857735
2020-11-16,17926838683,2828793298,661499515,1017953549,279809539,446804277
2020-11-17,17856049825,2833905447,658911196,1016148605,274744138,425386952
2020-11-18,17988127397,2785897568,664922156,1016200633,270287928,409759980
2020-11-19,18029086889,2803800472,681428410,1003569677,271086400,405281908
2020-11-20,18128126546,2800505796,687164292,994993027,265616775,394700168
2020-11-21,18189806447,2814073314,682720390,1003964085,269223241,401961687
2020-11-22,18341344302,2847988468,681691752,1021430147,270268120,401779393
2020-11-23,18423982371,2877288664,653826419,1019106432,323528089,403739608
2020-11-24,18468867452,2869297042,640046208,1021978287,312142077,401285576
2020-11-25,18624333607,2857242352,634574564,1040327444,313109608,415502070
2020-11-26,18610597716,2885506624,617846048,1046944869,320270471,406089802
